Iteration			Time(s)			State
118            		4.05445e-01		x: 154	z: 4	y: 416	
119            		4.06496e-01		x: 153	z: 6	y: 416	
120            		4.08032e-01		x: 153	z: 2	y: 419	
121            		4.10849e-01		x: 152	z: 4	y: 419	
122            		4.23219e-01		x: 151	z: 6	y: 419	
123            		4.25830e-01		x: 151	z: 2	y: 422	
124            		4.28173e-01		x: 150	z: 4	y: 422	
125            		4.28775e-01		x: 149	z: 6	y: 422	
126            		4.31388e-01		x: 149	z: 2	y: 425	
127            		4.31494e-01		x: 148	z: 4	y: 425	
128            		4.31601e-01		x: 147	z: 6	y: 425	
129            		4.31826e-01		x: 147	z: 2	y: 428	
130            		4.46712e-01		x: 146	z: 4	y: 428	
131            		4.50433e-01		x: 145	z: 6	y: 428	
132            		4.51187e-01		x: 145	z: 2	y: 431	
133            		4.63806e-01		x: 144	z: 4	y: 431	
134            		4.64004e-01		x: 143	z: 6	y: 431	
135            		4.64044e-01		x: 143	z: 2	y: 434	
136            		4.72261e-01		x: 142	z: 4	y: 434	
137            		4.77147e-01		x: 141	z: 6	y: 434	
138            		4.77627e-01		x: 141	z: 2	y: 437	
139            		4.80074e-01		x: 140	z: 4	y: 437	
140            		4.81749e-01		x: 139	z: 6	y: 437	
141            		4.84958e-01		x: 139	z: 2	y: 440	
142            		4.98686e-01		x: 138	z: 4	y: 440	
143            		5.23710e-01		x: 137	z: 6	y: 440	
144            		5.28506e-01		x: 137	z: 2	y: 443	
145            		5.37704e-01		x: 136	z: 4	y: 443	
146            		5.39604e-01		x: 135	z: 6	y: 443	
147            		5.39963e-01		x: 135	z: 2	y: 446	
148            		5.44567e-01		x: 134	z: 4	y: 446	
149            		5.52907e-01		x: 133	z: 6	y: 446	
150            		5.55584e-01		x: 133	z: 2	y: 449	
151            		5.70075e-01		x: 132	z: 4	y: 449	
152            		5.71411e-01		x: 131	z: 6	y: 449	
153            		5.71447e-01		x: 131	z: 2	y: 452	
154            		5.71649e-01		x: 130	z: 4	y: 452	
155            		5.81494e-01		x: 129	z: 6	y: 452	
156            		5.82265e-01		x: 129	z: 2	y: 455	
157            		5.86566e-01		x: 128	z: 4	y: 455	
158            		6.25452e-01		x: 127	z: 6	y: 455	
159            		6.25683e-01		x: 127	z: 2	y: 458	
160            		6.26991e-01		x: 126	z: 4	y: 458	
161            		6.27808e-01		x: 125	z: 6	y: 458	
162            		6.28096e-01		x: 125	z: 2	y: 461	
163            		6.29556e-01		x: 124	z: 4	y: 461	
164            		6.34711e-01		x: 123	z: 6	y: 461	
165            		6.34929e-01		x: 123	z: 2	y: 464	
166            		6.36204e-01		x: 122	z: 4	y: 464	
167            		6.40027e-01		x: 121	z: 6	y: 464	
168            		6.40822e-01		x: 121	z: 2	y: 467	
169            		6.45550e-01		x: 120	z: 4	y: 467	
170            		6.48453e-01		x: 119	z: 6	y: 467	
171            		6.50826e-01		x: 119	z: 2	y: 470	
172            		6.55891e-01		x: 118	z: 4	y: 470	
173            		6.60999e-01		x: 117	z: 6	y: 470	
174            		6.61112e-01		x: 117	z: 2	y: 473	
175            		6.74680e-01		x: 116	z: 4	y: 473	
176            		6.88364e-01		x: 115	z: 6	y: 473	
177            		6.88845e-01		x: 115	z: 2	y: 476	
178            		7.17037e-01		x: 114	z: 4	y: 476	
179            		7.45476e-01		x: 113	z: 6	y: 476	
180            		7.46473e-01		x: 113	z: 2	y: 479	
181            		7.52473e-01		x: 112	z: 4	y: 479	
182            		7.60622e-01		x: 111	z: 6	y: 479	
183            		7.60988e-01		x: 111	z: 2	y: 482	
184            		7.69584e-01		x: 110	z: 4	y: 482	
185            		7.78258e-01		x: 109	z: 6	y: 482	
186            		7.78998e-01		x: 109	z: 2	y: 485	
187            		7.81415e-01		x: 108	z: 4	y: 485	
188            		7.86202e-01		x: 107	z: 6	y: 485	
189            		7.86920e-01		x: 107	z: 2	y: 488	
190            		8.01866e-01		x: 106	z: 4	y: 488	
191            		8.01975e-01		x: 105	z: 6	y: 488	
192            		8.01991e-01		x: 105	z: 2	y: 491	
193            		8.27710e-01		x: 104	z: 4	y: 491	
194            		8.39150e-01		x: 103	z: 6	y: 491	
195            		8.40802e-01		x: 103	z: 2	y: 494	
196            		8.44546e-01		x: 102	z: 4	y: 494	
197            		8.46921e-01		x: 101	z: 6	y: 494	
198            		8.47258e-01		x: 101	z: 2	y: 497	
199            		8.49057e-01		x: 100	z: 4	y: 497	
200            		8.74821e-01		x: 99	z: 6	y: 497	
201            		8.75092e-01		x: 99	z: 2	y: 500	
202            		8.78674e-01		x: 98	z: 4	y: 500	
203            		8.81744e-01		x: 97	z: 6	y: 500	
204            		8.83473e-01		x: 97	z: 2	y: 503	
205            		8.91118e-01		x: 96	z: 4	y: 503	
206            		8.92322e-01		x: 95	z: 6	y: 503	
207            		8.92622e-01		x: 95	z: 2	y: 506	
208            		9.02943e-01		x: 94	z: 4	y: 506	
209            		9.13374e-01		x: 93	z: 6	y: 506	
210            		9.13818e-01		x: 93	z: 2	y: 509	
211            		9.16570e-01		x: 92	z: 4	y: 509	
212            		9.19351e-01		x: 91	z: 6	y: 509	
213            		9.21950e-01		x: 91	z: 2	y: 512	
214            		9.45402e-01		x: 90	z: 4	y: 512	
215            		9.69114e-01		x: 89	z: 6	y: 512	
216            		9.69188e-01		x: 89	z: 2	y: 515	
217            		9.96775e-01		x: 88	z: 4	y: 515	
218            		9.98582e-01		x: 87	z: 6	y: 515	
219            		9.98803e-01		x: 87	z: 2	y: 518	
220            		1.00257e+00		x: 86	z: 4	y: 518	
221            		1.00587e+00		x: 85	z: 6	y: 518	
222            		1.00626e+00		x: 85	z: 2	y: 521	
223            		1.04329e+00		x: 84	z: 4	y: 521	
224            		1.04681e+00		x: 83	z: 6	y: 521	
225            		1.05170e+00		x: 83	z: 2	y: 524	
226            		1.06182e+00		x: 82	z: 4	y: 524	
227            		1.07207e+00		x: 81	z: 6	y: 524	
228            		1.07326e+00		x: 81	z: 2	y: 527	
229            		1.07711e+00		x: 80	z: 4	y: 527	
230            		1.08101e+00		x: 79	z: 6	y: 527	
231            		1.08219e+00		x: 79	z: 2	y: 530	
232            		1.08782e+00		x: 78	z: 4	y: 530	
233            		1.09352e+00		x: 77	z: 6	y: 530	
234            		1.09360e+00		x: 77	z: 2	y: 533	
235            		1.11011e+00		x: 76	z: 4	y: 533	
236            		1.12683e+00		x: 75	z: 6	y: 533	
237            		1.12697e+00		x: 75	z: 2	y: 536	
238            		1.14960e+00		x: 74	z: 4	y: 536	
239            		1.15497e+00		x: 73	z: 6	y: 536	
240            		1.15591e+00		x: 73	z: 2	y: 539	
241            		1.16521e+00		x: 72	z: 4	y: 539	
242            		1.19679e+00		x: 71	z: 6	y: 539	
243            		1.19860e+00		x: 71	z: 2	y: 542	
244            		1.21696e+00		x: 70	z: 4	y: 542	
245            		1.23619e+00		x: 69	z: 6	y: 542	
246            		1.23760e+00		x: 69	z: 2	y: 545	
247            		1.24673e+00		x: 68	z: 4	y: 545	
248            		1.24991e+00		x: 67	z: 6	y: 545	
249            		1.25021e+00		x: 67	z: 2	y: 548	
250            		1.25430e+00		x: 66	z: 4	y: 548	
251            		1.28109e+00		x: 65	z: 6	y: 548	
252            		1.28354e+00		x: 65	z: 2	y: 551	
253            		1.29802e+00		x: 64	z: 4	y: 551	
254            		1.30005e+00		x: 63	z: 6	y: 551	
255            		1.30023e+00		x: 63	z: 2	y: 554	
256            		1.30376e+00		x: 62	z: 4	y: 554	
257            		1.34234e+00		x: 61	z: 6	y: 554	
258            		1.34249e+00		x: 61	z: 2	y: 557	
259            		1.34426e+00		x: 60	z: 4	y: 557	
260            		1.39006e+00		x: 59	z: 6	y: 557	
261            		1.39073e+00		x: 59	z: 2	y: 560	
262            		1.39902e+00		x: 58	z: 4	y: 560	
263            		1.41635e+00		x: 57	z: 6	y: 560	
264            		1.41741e+00		x: 57	z: 2	y: 563	
265            		1.45498e+00		x: 56	z: 4	y: 563	
266            		1.49322e+00		x: 55	z: 6	y: 563	
267            		1.49343e+00		x: 55	z: 2	y: 566	
268            		1.50344e+00		x: 54	z: 4	y: 566	
269            		1.52315e+00		x: 53	z: 6	y: 566	
270            		1.52462e+00		x: 53	z: 2	y: 569	
271            		1.53619e+00		x: 52	z: 4	y: 569	
272            		1.57782e+00		x: 51	z: 6	y: 569	
273            		1.58083e+00		x: 51	z: 2	y: 572	
274            		1.59163e+00		x: 50	z: 4	y: 572	
275            		1.59944e+00		x: 49	z: 6	y: 572	
276            		1.59984e+00		x: 49	z: 2	y: 575	
277            		1.60561e+00		x: 48	z: 4	y: 575	
278            		1.60812e+00		x: 47	z: 6	y: 575	
279            		1.61078e+00		x: 47	z: 2	y: 578	
280            		1.65159e+00		x: 46	z: 4	y: 578	
281            		1.65898e+00		x: 46	z: 0	y: 581	
282            		1.73669e+00		x: 45	z: 2	y: 581	
283            		1.81614e+00		x: 44	z: 4	y: 581	
284            		1.82863e+00		x: 44	z: 0	y: 584	
285            		1.87130e+00		x: 43	z: 2	y: 584	
286            		1.91496e+00		x: 42	z: 4	y: 584	
287            		1.92063e+00		x: 42	z: 0	y: 587	
288            		1.92910e+00		x: 41	z: 2	y: 587	
289            		2.01414e+00		x: 40	z: 4	y: 587	
290            		2.03303e+00		x: 40	z: 0	y: 590	
291            		2.04095e+00		x: 39	z: 2	y: 590	
292            		2.05386e+00		x: 38	z: 4	y: 590	
293            		2.06238e+00		x: 38	z: 0	y: 593	
294            		2.07314e+00		x: 37	z: 2	y: 593	
295            		2.10003e+00		x: 36	z: 4	y: 593	
296            		2.10831e+00		x: 36	z: 0	y: 596	
297            		2.12932e+00		x: 35	z: 2	y: 596	
298            		2.22318e+00		x: 34	z: 4	y: 596	
299            		2.29162e+00		x: 34	z: 0	y: 599	
300            		2.29959e+00		x: 33	z: 2	y: 599	
301            		2.33871e+00		x: 32	z: 4	y: 599	
302            		2.33872e+00		x: 32	z: 0	y: 602	
303            		2.40162e+00		x: 31	z: 2	y: 602	
304            		2.43302e+00		x: 30	z: 4	y: 602	
305            		2.43700e+00		x: 30	z: 0	y: 605	
306            		2.46792e+00		x: 29	z: 2	y: 605	
307            		2.47277e+00		x: 28	z: 4	y: 605	
308            		2.49999e+00		x: 28	z: 0	y: 608	
309            		2.53644e+00		x: 27	z: 2	y: 608	
310            		2.54696e+00		x: 26	z: 4	y: 608	
311            		2.55652e+00		x: 26	z: 0	y: 611	
312            		2.58997e+00		x: 25	z: 2	y: 611	
313            		2.83660e+00		x: 24	z: 4	y: 611	
314            		2.85219e+00		x: 24	z: 0	y: 614	
315            		2.96007e+00		x: 23	z: 2	y: 614	
316            		3.07264e+00		x: 22	z: 4	y: 614	
317            		3.09102e+00		x: 22	z: 0	y: 617	
318            		3.10140e+00		x: 21	z: 2	y: 617	
319            		3.16299e+00		x: 20	z: 4	y: 617	
320            		3.17926e+00		x: 20	z: 0	y: 620	
321            		3.20567e+00		x: 19	z: 2	y: 620	
322            		3.26723e+00		x: 18	z: 4	y: 620	
323            		3.34841e+00		x: 18	z: 0	y: 623	
324            		3.36085e+00		x: 17	z: 2	y: 623	
325            		3.37502e+00		x: 16	z: 4	y: 623	
326            		3.39514e+00		x: 16	z: 0	y: 626	
327            		3.41539e+00		x: 15	z: 2	y: 626	
328            		3.46285e+00		x: 14	z: 4	y: 626	
329            		3.47768e+00		x: 14	z: 0	y: 629	
330            		3.49835e+00		x: 13	z: 2	y: 629	
331            		3.52418e+00		x: 12	z: 4	y: 629	
332            		3.61308e+00		x: 12	z: 0	y: 632	
333            		3.68164e+00		x: 11	z: 2	y: 632	
334            		3.81075e+00		x: 10	z: 4	y: 632	
335            		3.84657e+00		x: 10	z: 0	y: 635	
336            		3.98544e+00		x: 9	z: 2	y: 635	
337            		4.11243e+00		x: 8	z: 4	y: 635	
338            		4.19814e+00		x: 8	z: 0	y: 638	
339            		4.71237e+00		x: 7	z: 2	y: 638	
340            		4.84418e+00		x: 6	z: 4	y: 638	
341            		4.84739e+00		x: 6	z: 0	y: 641	
342            		4.87301e+00		x: 5	z: 2	y: 641	
343            		4.89373e+00		x: 4	z: 4	y: 641	
344            		4.91810e+00		x: 4	z: 0	y: 644	
345            		5.16002e+00		x: 3	z: 2	y: 644	
346            		5.48257e+00		x: 2	z: 4	y: 644	
347            		5.52253e+00		x: 2	z: 0	y: 647	
348            		6.58504e+00		x: 1	z: 2	y: 647	
349            		7.10254e+00		x: 0	z: 4	y: 647	
350            		7.10337e+00		x: 0	z: 0	y: 650	
